gene_id,feature
CNAG_00040,ERG11
CNAG_00378,Centromeres
CNAG_00383,Centromeres
CNAG_00730,AFR1
CNAG_00854,ERG2
CNAG_00941,Centromeres
CNAG_00960,Centromeres
CNAG_01454,MAT
CNAG_01455,MAT
CNAG_01456,MAT
CNAG_01457,MAT
CNAG_01780,Centromeres
CNAG_01788,Centromeres
CNAG_02240,Centromeres
CNAG_02254,Centromeres
CNAG_03251,Centromeres
CNAG_03258,Centromeres
CNAG_03796,Centromeres
CNAG_03805,Centromeres
CNAG_04417,Centromeres
CNAG_04855,Centromeres
CNAG_04857,Centromeres
CNAG_05202,Centromeres
CNAG_05215,Centromeres
CNAG_05486,Centromeres
CNAG_05496,Centromeres
CNAG_05671,Centromeres
CNAG_06036,Centromeres
CNAG_06048,Centromeres
CNAG_06475,Centromeres
CNAG_06482,Centromeres
CNAG_06699,Centromeres
CNAG_06804,MAT
CNAG_06805,MAT
CNAG_06806,MAT
CNAG_06807,MAT
CNAG_06808,MAT
CNAG_06809,MAT
CNAG_06810,MAT
CNAG_06811,MAT
CNAG_06812,MAT
CNAG_06813,MAT
CNAG_06814,MAT
CNAG_06879,Centromeres
CNAG_06971,MAT
CNAG_06980,MAT
CNAG_07004,MAT
CNAG_07005,MAT
CNAG_07015,MAT
CNAG_07406,MAT
CNAG_07407,MAT
CNAG_07408,MAT
CNAG_07409,MAT
CNAG_07410,MAT
CNAG_07411,MAT
CNAG_07769,Centromeres
CNAG_07972,Centromeres
CNAG_10500,rRNA
CNAG_10501,rRNA
CNAG_10502,rRNA
CNAG_10503,rRNA